book,module,"漏收候选_合计(IN+MAYBE不含OUT,按canonical_qid去重)",漏收候选_IN,漏收候选_MAYBE待模型,漏收候选_按裁定可收(非不收),漏收候选_按裁定不收(选择题外主观题无E1),"错收候选_合计(疑似,需复核,COLLECTED且脚本判OUT,按canonical_qid去重)","OUT低先验_合计(未剔除,单列候选,金标集验证前不得当已确认非本模块,按canonical_qid去重)",去重去掉的重复行数(漏收/OUT/错收)
必修二,B2,1192,63,1129,1152,40,22,86,7/0/0
必修三,B3,1328,27,1301,1298,30,3,150,11/0/0
哲学,PH,892,17,875,857,35,12,628,11/5/0
文化,CU,983,13,970,955,28,17,682,9/5/0
选必一,X1,704,61,643,668,36,10,989,5/8/0
选必二,X2,839,44,795,792,47,0,839,14/6/0
思维,MI,925,23,902,898,27,6,854,4/11/0
推理,RE,1119,21,1098,1087,32,7,580,15/4/0
