unit_id,qid,canonical_qid,exam_id_canonical,num,type,subq,grain,归属_RE,conflict_script_out,admission,evidence,evidence_detail,script_tier,rule_version
BJ-2022-BJ-GAOKAO-Q9,BJ-2022-BJ-GAOKAO-Q9,BJ-2022-BJ-GAOKAO-Q9,BJ-2022-BJ-GAOKAO,9,选择题,,整题,COLLECTED,RE,完整题-选择题照收,E3,逐题已匹配参考答案,不明,2026-09-24-attribution-v3
BJ-2024-DC-YIMO-Q8,BJ-2024-DC-YIMO-Q8,BJ-2024-DC-YIMO-Q8,BJ-2024-DC-YIMO,8,选择题,,整题,COLLECTED,RE,完整题-选择题照收,E3,该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判（同时已有匹配参考答案，选择题按E3计，正式评分材料候选仍待核实）,倾向,2026-09-24-attribution-v3
BJ-2024-FT-ERMO-Q9,BJ-2024-FT-ERMO-Q9,BJ-2024-FT-ERMO-Q9,BJ-2024-FT-ERMO,9,选择题,,整题,COLLECTED,RE,完整题-选择题照收,答案键来源未核实(候选未确认),该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,不明,2026-09-24-attribution-v3
BJ-2024-XC-YIMO-Q11,BJ-2024-XC-YIMO-Q11,BJ-2024-XC-YIMO-Q11,BJ-2024-XC-YIMO,11,选择题,,整题,COLLECTED,RE,完整题-选择题照收,E3,该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判（同时已有匹配参考答案，选择题按E3计，正式评分材料候选仍待核实）,倾向,2026-09-24-attribution-v3
BJ-2026-FT-YIMO-Q8,BJ-2026-FT-YIMO-Q8,BJ-2026-FT-YIMO-Q8,BJ-2026-FT-YIMO,8,选择题,,整题,COLLECTED,RE,完整题-选择题照收,答案键来源未核实(候选未确认),该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,倾向,2026-09-24-attribution-v3
BJ-2026-HD-QIMO-Q12,BJ-2026-HD-QIMO-Q12,BJ-2026-HD-QIMO-Q12,BJ-2026-HD-QIMO,12,选择题,,整题,COLLECTED,RE,完整题-选择题照收,答案键来源未核实(候选未确认),该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,不明,2026-09-24-attribution-v3
BJ-2026-FT-ERMO-Q9,BJ-2026-FT-ERMO-Q9,BJ-2026-FT-ERMO-Q9,BJ-2026-FT-ERMO,9,选择题,,整题,COLLECTED,RE,完整题-选择题照收,缺答案键,"未在rubric_links.csv找到该题任何行(未核实,不是已确认无)",不明,2026-09-24-attribution-v3
