qid,exam,num,type,n_books,philosophy,culture,xuanbi1,xuanbi2,mind,reasoning,bixiu2,bixiu3,dup_of,dup_covered_by
BJ-2025-DC-ERMO-Q15,BJ-2025-DC-ERMO,15,选择题,1,,,,,,S,,,,
BJ-2025-DC-ERMO-Q16,BJ-2025-DC-ERMO,16,非选择题,1,S,,,,,,,,,
BJ-2025-DC-ERMO-Q17,BJ-2025-DC-ERMO,17,非选择题,1,,,,,,,,S,,
BJ-2025-DC-ERMO-Q18,BJ-2025-DC-ERMO,18,非选择题,2,,,,,,S[2],S[1],,,
BJ-2025-DC-ERMO-Q19,BJ-2025-DC-ERMO,19,非选择题,1,,,,S,,,,,,
BJ-2025-DC-ERMO-Q20,BJ-2025-DC-ERMO,20,非选择题,1,,,S,,,,,,,
BJ-2025-DC-ERMO-Q21,BJ-2025-DC-ERMO,21,非选择题,2,S,,,,,,,S,,
BJ-2023-CY-ERMO-Q1,BJ-2023-CY-ERMO,1,选择题,1,,,,,,,,S,,
BJ-2023-CY-ERMO-Q2,BJ-2023-CY-ERMO,2,选择题,0,,,,,,,,,,
BJ-2023-CY-ERMO-Q3,BJ-2023-CY-ERMO,3,选择题,0,,,,,,,,,,
BJ-2023-CY-ERMO-Q4,BJ-2023-CY-ERMO,4,选择题,1,,,,,,,,S,,
BJ-2023-CY-ERMO-Q5,BJ-2023-CY-ERMO,5,选择题,0,,,,,,,,,,
BJ-2023-CY-ERMO-Q6,BJ-2023-CY-ERMO,6,选择题,0,,,,,,,,,,
BJ-2023-CY-ERMO-Q7,BJ-2023-CY-ERMO,7,选择题,0,,,,,,,,,,
BJ-2023-CY-ERMO-Q8,BJ-2023-CY-ERMO,8,选择题,0,,,,,,,,,,
BJ-2023-CY-ERMO-Q9,BJ-2023-CY-ERMO,9,选择题,1,,,,,,,S,,,
BJ-2023-CY-ERMO-Q10,BJ-2023-CY-ERMO,10,选择题,1,,,,,,,S,,,
BJ-2023-CY-ERMO-Q11,BJ-2023-CY-ERMO,11,选择题,1,,,,,,,,S,,
BJ-2023-CY-ERMO-Q12,BJ-2023-CY-ERMO,12,选择题,1,,,,,,,,S,,
BJ-2023-CY-ERMO-Q13,BJ-2023-CY-ERMO,13,选择题,0,,,,,,,,,,
BJ-2023-CY-ERMO-Q14,BJ-2023-CY-ERMO,14,选择题,0,,,,,,,,,,
BJ-2023-CY-ERMO-Q15,BJ-2023-CY-ERMO,15,选择题,0,,,,,,,,,,
BJ-2023-CY-ERMO-Q16,BJ-2023-CY-ERMO,16,非选择题,0,,,,,,,,,,
BJ-2023-CY-ERMO-Q17,BJ-2023-CY-ERMO,17,非选择题,1,,,,,,,,S,,
BJ-2023-CY-ERMO-Q18,BJ-2023-CY-ERMO,18,非选择题,0,,,,,,,,,,
BJ-2023-CY-ERMO-Q19,BJ-2023-CY-ERMO,19,非选择题,0,,,,,,,,,,
BJ-2023-CY-ERMO-Q20,BJ-2023-CY-ERMO,20,非选择题,0,,,,,,,,,,
BJ-2023-CY-ERMO-Q21,BJ-2023-CY-ERMO,21,非选择题,0,,,,,,,,,,
BJ-2021-BJ-GAOKAO-Q1,BJ-2021-BJ-GAOKAO,1,选择题,1,,S,,,,,,,,
BJ-2021-BJ-GAOKAO-Q2,BJ-2021-BJ-GAOKAO,2,选择题,1,,S,,,,,,,,
BJ-2021-BJ-GAOKAO-Q3,BJ-2021-BJ-GAOKAO,3,选择题,2,S,S,,,,,,,,
BJ-2021-BJ-GAOKAO-Q4,BJ-2021-BJ-GAOKAO,4,选择题,1,,S,,,,,,,,
BJ-2021-BJ-GAOKAO-Q5,BJ-2021-BJ-GAOKAO,5,选择题,1,S,,,,,,,,,
BJ-2021-BJ-GAOKAO-Q6,BJ-2021-BJ-GAOKAO,6,选择题,1,S,,,,,,,,,
BJ-2021-BJ-GAOKAO-Q7,BJ-2021-BJ-GAOKAO,7,选择题,1,S,,,,,,,,,
BJ-2021-BJ-GAOKAO-Q8,BJ-2021-BJ-GAOKAO,8,选择题,1,,,,,,,,S,,
BJ-2021-BJ-GAOKAO-Q9,BJ-2021-BJ-GAOKAO,9,选择题,3,,S,,,,,S,S,,
BJ-2021-BJ-GAOKAO-Q10,BJ-2021-BJ-GAOKAO,10,选择题,1,,,S,,,,,,,
BJ-2021-BJ-GAOKAO-Q11,BJ-2021-BJ-GAOKAO,11,选择题,1,,,,,,,S,,,
BJ-2021-BJ-GAOKAO-Q12,BJ-2021-BJ-GAOKAO,12,选择题,1,,,,,,,S,,,
BJ-2021-BJ-GAOKAO-Q13,BJ-2021-BJ-GAOKAO,13,选择题,1,,,,,,,S,,,
BJ-2021-BJ-GAOKAO-Q14,BJ-2021-BJ-GAOKAO,14,选择题,2,,,S,,,,S,,,
BJ-2021-BJ-GAOKAO-Q15,BJ-2021-BJ-GAOKAO,15,选择题,2,,,S,,,,S,,,
BJ-2021-BJ-GAOKAO-Q16,BJ-2021-BJ-GAOKAO,16,非选择题,1,,S,,,,,,,,
BJ-2021-BJ-GAOKAO-Q17,BJ-2021-BJ-GAOKAO,17,非选择题,2,,,,,,,S,S,,
BJ-2021-BJ-GAOKAO-Q18,BJ-2021-BJ-GAOKAO,18,非选择题,1,S,,,,,,,,,
BJ-2021-BJ-GAOKAO-Q19,BJ-2021-BJ-GAOKAO,19,非选择题,2,,,S,,,,S,,,
BJ-2021-BJ-GAOKAO-Q20,BJ-2021-BJ-GAOKAO,20,非选择题,1,,,,,,,S[1/2],,,
BJ-2021-BJ-GAOKAO-Q21,BJ-2021-BJ-GAOKAO,21,非选择题,2,S[2],,,,,,,S[1/2],,
BJ-2024-HD-QIZHONG-Q1,BJ-2024-HD-QIZHONG,1,选择题,0,,,,,,,,,BJ-2025-HD-QIZHONG-Q1,
BJ-2024-HD-QIZHONG-Q2,BJ-2024-HD-QIZHONG,2,选择题,0,,,,,,,M,,BJ-2025-HD-QIZHONG-Q2,
BJ-2024-HD-QIZHONG-Q3,BJ-2024-HD-QIZHONG,3,选择题,0,,,,,,,,,BJ-2025-HD-QIZHONG-Q3,
BJ-2024-HD-QIZHONG-Q4,BJ-2024-HD-QIZHONG,4,选择题,1,,,,,,,S,,BJ-2025-HD-QIZHONG-Q4,
BJ-2024-HD-QIZHONG-Q5,BJ-2024-HD-QIZHONG,5,选择题,1,,,,,,,S,,BJ-2025-HD-QIZHONG-Q5,
BJ-2024-HD-QIZHONG-Q6,BJ-2024-HD-QIZHONG,6,选择题,1,,,,,,,S,,BJ-2025-HD-QIZHONG-Q6,
BJ-2024-HD-QIZHONG-Q7,BJ-2024-HD-QIZHONG,7,选择题,1,,,,,,,,S,BJ-2025-HD-QIZHONG-Q7,
BJ-2024-HD-QIZHONG-Q8,BJ-2024-HD-QIZHONG,8,选择题,1,,,,,,,,S,BJ-2025-HD-QIZHONG-Q8,
BJ-2024-HD-QIZHONG-Q9,BJ-2024-HD-QIZHONG,9,选择题,2,,S,,,,,,S,BJ-2025-HD-QIZHONG-Q9,
BJ-2024-HD-QIZHONG-Q10,BJ-2024-HD-QIZHONG,10,选择题,2,,,,,,,S,S,BJ-2025-HD-QIZHONG-Q10,
BJ-2024-HD-QIZHONG-Q11,BJ-2024-HD-QIZHONG,11,选择题,2,,,,,,,S,S,BJ-2025-HD-QIZHONG-Q11,
BJ-2024-HD-QIZHONG-Q12,BJ-2024-HD-QIZHONG,12,选择题,1,,,F,,,,,,BJ-2025-HD-QIZHONG-Q12,
BJ-2024-HD-QIZHONG-Q13,BJ-2024-HD-QIZHONG,13,选择题,0,,,,,,,,,BJ-2025-HD-QIZHONG-Q13,
BJ-2024-HD-QIZHONG-Q14,BJ-2024-HD-QIZHONG,14,选择题,2,,,F,,,,S,,BJ-2025-HD-QIZHONG-Q14,
BJ-2024-HD-QIZHONG-Q15,BJ-2024-HD-QIZHONG,15,选择题,1,,,F,,,,M,,BJ-2025-HD-QIZHONG-Q15,
BJ-2024-HD-QIZHONG-Q16,BJ-2024-HD-QIZHONG,16,非选择题,1,,,S[2],,,,M,,BJ-2025-HD-QIZHONG-Q25,
BJ-2024-HD-QIZHONG-Q17,BJ-2024-HD-QIZHONG,17,非选择题,0,,,,,,,M,,BJ-2025-HD-QIZHONG-Q17,bixiu2
BJ-2024-HD-QIZHONG-Q18,BJ-2024-HD-QIZHONG,18,非选择题,1,,,,,,,M[1/2],S,,
BJ-2024-HD-QIZHONG-Q19,BJ-2024-HD-QIZHONG,19,非选择题,1,,,,,,,M,S,BJ-2025-HD-QIZHONG-Q19,
BJ-2024-HD-QIZHONG-Q20,BJ-2024-HD-QIZHONG,20,非选择题,0,,,,,,,M,,BJ-2025-HD-QIZHONG-Q20,bixiu2
BJ-2024-HD-QIZHONG-Q21,BJ-2024-HD-QIZHONG,21,非选择题,3,,,S[2],S,,,M,S[1],BJ-2025-HD-QIZHONG-Q21,
BJ-2026-CY-QIMO-Q1,BJ-2026-CY-QIMO,1,选择题,0,,,,,,,,,,
BJ-2026-CY-QIMO-Q2,BJ-2026-CY-QIMO,2,选择题,2,S,,,,,,S,,,
BJ-2026-CY-QIMO-Q3,BJ-2026-CY-QIMO,3,选择题,1,S,,,,,,,,,
BJ-2026-CY-QIMO-Q4,BJ-2026-CY-QIMO,4,选择题,1,S,,,,,,,,,
BJ-2026-CY-QIMO-Q5,BJ-2026-CY-QIMO,5,选择题,2,S,,,,,S,,,,
BJ-2026-CY-QIMO-Q6,BJ-2026-CY-QIMO,6,选择题,1,,,,,,S,,,,
BJ-2026-CY-QIMO-Q7,BJ-2026-CY-QIMO,7,选择题,2,,,,,,,S,S,,
BJ-2026-CY-QIMO-Q8,BJ-2026-CY-QIMO,8,选择题,1,,,,,,,,S,,
BJ-2026-CY-QIMO-Q9,BJ-2026-CY-QIMO,9,选择题,1,,,,,,,,S,,
BJ-2026-CY-QIMO-Q10,BJ-2026-CY-QIMO,10,选择题,1,,,,S,,,,,,
BJ-2026-CY-QIMO-Q11,BJ-2026-CY-QIMO,11,选择题,1,,,,S,,,,,,
BJ-2026-CY-QIMO-Q12,BJ-2026-CY-QIMO,12,选择题,1,,,,,,,S,,,
BJ-2026-CY-QIMO-Q13,BJ-2026-CY-QIMO,13,选择题,1,,,,,,,S,,,
BJ-2026-CY-QIMO-Q14,BJ-2026-CY-QIMO,14,选择题,2,,,S,,,,S,,,
BJ-2026-CY-QIMO-Q15,BJ-2026-CY-QIMO,15,选择题,2,,,S,,,,S,,,
BJ-2026-CY-QIMO-Q16,BJ-2026-CY-QIMO,16,非选择题,2,S,S,,,,,,,,
BJ-2026-CY-QIMO-Q17,BJ-2026-CY-QIMO,17,非选择题,1,,,,,,,,S,,
BJ-2026-CY-QIMO-Q18,BJ-2026-CY-QIMO,18,非选择题,2,,,,S,,S[2],,,,
BJ-2026-CY-QIMO-Q19,BJ-2026-CY-QIMO,19,非选择题,1,,,,,,,S,,,
BJ-2026-CY-QIMO-Q20,BJ-2026-CY-QIMO,20,非选择题,1,,,S,,,,,,,
BJ-2026-CY-QIMO-Q21,BJ-2026-CY-QIMO,21,非选择题,3,S,,,,,,S,S,,
BJ-2023-HD-ERMO-Q1,BJ-2023-HD-ERMO,1,选择题,0,,,,,,,,,,
BJ-2023-HD-ERMO-Q10,BJ-2023-HD-ERMO,10,选择题,2,,,,,,,S,S,,
BJ-2023-HD-ERMO-Q11,BJ-2023-HD-ERMO,11,选择题,0,,,,,,,,,,
BJ-2023-HD-ERMO-Q12,BJ-2023-HD-ERMO,12,选择题,0,,,,,,,,,,
BJ-2023-HD-ERMO-Q13,BJ-2023-HD-ERMO,13,选择题,1,,,,,,,S,,,
BJ-2023-HD-ERMO-Q14,BJ-2023-HD-ERMO,14,选择题,1,,,,,,,S,,,
BJ-2023-HD-ERMO-Q15,BJ-2023-HD-ERMO,15,选择题,2,,,,,,,S,S,,
BJ-2023-HD-ERMO-Q16,BJ-2023-HD-ERMO,16,非选择题,0,,,,,,,,,,
BJ-2023-HD-ERMO-Q17,BJ-2023-HD-ERMO,17,非选择题,1,,,,,,,S,,,
BJ-2023-HD-ERMO-Q18,BJ-2023-HD-ERMO,18,非选择题,1,,,,,,,S,,,
BJ-2023-HD-ERMO-Q19,BJ-2023-HD-ERMO,19,非选择题,1,,,,,,,S,,,
BJ-2023-HD-ERMO-Q2,BJ-2023-HD-ERMO,2,选择题,0,,,,,,,,,,
BJ-2023-HD-ERMO-Q20,BJ-2023-HD-ERMO,20,非选择题,2,,,,,,,S[1/2],S[3],,
BJ-2023-HD-ERMO-Q21,BJ-2023-HD-ERMO,21,非选择题,0,,,,,,,,,,
BJ-2023-HD-ERMO-Q3,BJ-2023-HD-ERMO,3,选择题,0,,,,,,,,,,
BJ-2023-HD-ERMO-Q4,BJ-2023-HD-ERMO,4,选择题,0,,,,,,,,,,
BJ-2023-HD-ERMO-Q5,BJ-2023-HD-ERMO,5,选择题,0,,,,,,,,,,
BJ-2023-HD-ERMO-Q6,BJ-2023-HD-ERMO,6,选择题,1,,,,,,,S,,,
BJ-2023-HD-ERMO-Q7,BJ-2023-HD-ERMO,7,选择题,1,,,,,,,S,,,
BJ-2023-HD-ERMO-Q8,BJ-2023-HD-ERMO,8,选择题,1,,,,,,,S,,,
BJ-2023-HD-ERMO-Q9,BJ-2023-HD-ERMO,9,选择题,1,,,,,,,S,,,
BJ-2023-DC-YIMO-Q16,BJ-2023-DC-YIMO,16,非选择题,0,,,,,,,,,,
BJ-2023-DC-YIMO-Q17,BJ-2023-DC-YIMO,17,非选择题,2,,,,,,,S,S,,
BJ-2023-DC-YIMO-Q18,BJ-2023-DC-YIMO,18,非选择题,1,,,,,,,S[1/2/3],,,
BJ-2023-DC-YIMO-Q19,BJ-2023-DC-YIMO,19,非选择题,1,,,,,,,S,,,
BJ-2023-DC-YIMO-Q20,BJ-2023-DC-YIMO,20,非选择题,2,,,,,,,S[2],S[2],,
BJ-2023-DC-YIMO-Q21,BJ-2023-DC-YIMO,21,非选择题,1,,,,,,,,S,,
BJ-2023-DC-YIMO-Q1,BJ-2023-DC-YIMO,1,选择题,0,,,,,,,,,,
BJ-2023-DC-YIMO-Q2,BJ-2023-DC-YIMO,2,选择题,1,,,,,,,S,,,
BJ-2023-DC-YIMO-Q3,BJ-2023-DC-YIMO,3,选择题,1,,,,,,,S,,,
BJ-2023-DC-YIMO-Q4,BJ-2023-DC-YIMO,4,选择题,1,,,,,,,S,,,
BJ-2023-DC-YIMO-Q5,BJ-2023-DC-YIMO,5,选择题,1,,,,,,,,S,,
BJ-2023-DC-YIMO-Q6,BJ-2023-DC-YIMO,6,选择题,1,,,,,,,,S,,
BJ-2023-DC-YIMO-Q7,BJ-2023-DC-YIMO,7,选择题,1,,,,,,,S,,,
BJ-2023-DC-YIMO-Q8,BJ-2023-DC-YIMO,8,选择题,1,,,,,,,S,,,
BJ-2023-DC-YIMO-Q9,BJ-2023-DC-YIMO,9,选择题,1,,,,,,,S,,,
BJ-2023-DC-YIMO-Q10,BJ-2023-DC-YIMO,10,选择题,0,,,,,,,,,,
BJ-2023-DC-YIMO-Q11,BJ-2023-DC-YIMO,11,选择题,2,,,,,,,S,S,,
BJ-2023-DC-YIMO-Q12,BJ-2023-DC-YIMO,12,选择题,0,,,,,,,,,,
BJ-2023-DC-YIMO-Q13,BJ-2023-DC-YIMO,13,选择题,0,,,,,,,,,,
BJ-2023-DC-YIMO-Q14,BJ-2023-DC-YIMO,14,选择题,0,,,,,,,,,,
BJ-2023-DC-YIMO-Q15,BJ-2023-DC-YIMO,15,选择题,0,,,,,,,,,,
BJ-2023-HD-YIMO-Q16,BJ-2023-HD-YIMO,16,非选择题,2,,,,,,,S,S,,
BJ-2023-HD-YIMO-Q17,BJ-2023-HD-YIMO,17,非选择题,2,,,,,,,S,S,,
BJ-2023-HD-YIMO-Q18,BJ-2023-HD-YIMO,18,非选择题,0,,,,,,,,,,
BJ-2023-HD-YIMO-Q19,BJ-2023-HD-YIMO,19,非选择题,1,,,,,,,S,,,
BJ-2023-HD-YIMO-Q20,BJ-2023-HD-YIMO,20,非选择题,0,,,,,,,,,,
BJ-2023-HD-YIMO-Q21,BJ-2023-HD-YIMO,21,非选择题,1,,,,,,,S[1/2],,,
BJ-2023-XC-YIMO-Q16,BJ-2023-XC-YIMO,16,非选择题,0,,,,,,,,,,
BJ-2023-XC-YIMO-Q17,BJ-2023-XC-YIMO,17,非选择题,1,,,,,,,S,,,
BJ-2023-XC-YIMO-Q18,BJ-2023-XC-YIMO,18,非选择题,2,,,,,,,S,S,,
BJ-2023-XC-YIMO-Q19,BJ-2023-XC-YIMO,19,非选择题,1,,,,,,,S[1/2],,,
BJ-2023-XC-YIMO-Q20,BJ-2023-XC-YIMO,20,非选择题,1,,,,,,,S,,,
BJ-2023-XC-YIMO-Q21,BJ-2023-XC-YIMO,21,非选择题,0,,,,,,,,,,
BJ-2023-XC-YIMO-Q1,BJ-2023-XC-YIMO,1,选择题,1,,,,,,,,S,,
BJ-2023-XC-YIMO-Q2,BJ-2023-XC-YIMO,2,选择题,0,,,,,,,,,,
BJ-2023-XC-YIMO-Q3,BJ-2023-XC-YIMO,3,选择题,0,,,,,,,,,,
BJ-2023-XC-YIMO-Q4,BJ-2023-XC-YIMO,4,选择题,1,,,,,,,S,,,
BJ-2023-XC-YIMO-Q6,BJ-2023-XC-YIMO,6,选择题,1,,,,,,,,S,,
BJ-2023-XC-YIMO-Q7,BJ-2023-XC-YIMO,7,选择题,1,,,,,,,,S,,
BJ-2023-XC-YIMO-Q8,BJ-2023-XC-YIMO,8,选择题,0,,,,,,,,,,
BJ-2023-XC-YIMO-Q9,BJ-2023-XC-YIMO,9,选择题,1,,,,,,,S,,,
BJ-2023-XC-YIMO-Q10,BJ-2023-XC-YIMO,10,选择题,1,,,,,,,S,,,
BJ-2023-XC-YIMO-Q11,BJ-2023-XC-YIMO,11,选择题,1,,,,,,,S,,,
BJ-2023-XC-YIMO-Q12,BJ-2023-XC-YIMO,12,选择题,0,,,,,,,,,,
BJ-2023-XC-YIMO-Q13,BJ-2023-XC-YIMO,13,选择题,0,,,,,,,,,,
BJ-2023-XC-YIMO-Q14,BJ-2023-XC-YIMO,14,选择题,0,,,,,,,,,,
BJ-2023-XC-YIMO-Q15,BJ-2023-XC-YIMO,15,选择题,0,,,,,,,,,,
BJ-2023-XC-YIMO-Q5,BJ-2023-XC-YIMO,5,选择题,1,,,,,,,S,,,
BJ-2023-XC-ERMO-Q16,BJ-2023-XC-ERMO,16,非选择题,1,,,,,,,S[1/2],,,
BJ-2023-XC-ERMO-Q17,BJ-2023-XC-ERMO,17,非选择题,1,,,,,,,S,,,
BJ-2023-XC-ERMO-Q18,BJ-2023-XC-ERMO,18,非选择题,1,,,,,,,S,,,
BJ-2023-XC-ERMO-Q20,BJ-2023-XC-ERMO,20,非选择题,2,,,,,,,S,S,,
BJ-2023-XC-ERMO-Q21,BJ-2023-XC-ERMO,21,非选择题,0,,,,,,,,,,
BJ-2023-XC-ERMO-Q19,BJ-2023-XC-ERMO,19,非选择题,2,,,,,,,S,S,,
BJ-2023-XC-ERMO-Q2,BJ-2023-XC-ERMO,2,选择题,1,,,,,,,,S,,
BJ-2023-XC-ERMO-Q3,BJ-2023-XC-ERMO,3,选择题,0,,,,,,,,,,
BJ-2023-XC-ERMO-Q4,BJ-2023-XC-ERMO,4,选择题,1,,,,,,,,S,,
BJ-2023-XC-ERMO-Q5,BJ-2023-XC-ERMO,5,选择题,1,,,,,,,S,,,
BJ-2023-XC-ERMO-Q6,BJ-2023-XC-ERMO,6,选择题,1,,,,,,,S,,,
BJ-2023-XC-ERMO-Q8,BJ-2023-XC-ERMO,8,选择题,1,,,,,,,S,,,
BJ-2023-XC-ERMO-Q9,BJ-2023-XC-ERMO,9,选择题,2,,,,,,,S,S,,
BJ-2023-XC-ERMO-Q10,BJ-2023-XC-ERMO,10,选择题,2,,,,,,,S,S,,
BJ-2023-XC-ERMO-Q11,BJ-2023-XC-ERMO,11,选择题,1,,,,,,,S,,,
BJ-2023-XC-ERMO-Q12,BJ-2023-XC-ERMO,12,选择题,0,,,,,,,,,,
BJ-2023-XC-ERMO-Q13,BJ-2023-XC-ERMO,13,选择题,0,,,,,,,,,,
BJ-2023-XC-ERMO-Q15,BJ-2023-XC-ERMO,15,选择题,1,,,,,,,S,,,
BJ-2023-HD-QIZHONG-Q1,BJ-2023-HD-QIZHONG,1,选择题,0,,,,,,,,,,
BJ-2023-HD-QIZHONG-Q2,BJ-2023-HD-QIZHONG,2,选择题,1,,,,,,,S,,,
BJ-2023-HD-QIZHONG-Q3,BJ-2023-HD-QIZHONG,3,选择题,0,,,,,,,,,,
BJ-2023-HD-QIZHONG-Q4,BJ-2023-HD-QIZHONG,4,选择题,1,,,,,,,S,,,
BJ-2023-HD-QIZHONG-Q5,BJ-2023-HD-QIZHONG,5,选择题,1,,,,,,,S,,,
BJ-2023-HD-QIZHONG-Q6,BJ-2023-HD-QIZHONG,6,选择题,1,,,,,,,S,,,
BJ-2023-HD-QIZHONG-Q7,BJ-2023-HD-QIZHONG,7,选择题,1,,,,,,,,S,,
BJ-2023-HD-QIZHONG-Q8,BJ-2023-HD-QIZHONG,8,选择题,1,,,,,,,,S,,
BJ-2023-HD-QIZHONG-Q9,BJ-2023-HD-QIZHONG,9,选择题,1,,,,,,,,S,,
BJ-2023-HD-QIZHONG-Q10,BJ-2023-HD-QIZHONG,10,选择题,1,,,,,,,S,,,
BJ-2023-HD-QIZHONG-Q11,BJ-2023-HD-QIZHONG,11,选择题,1,,,,,,,S,,,
BJ-2023-HD-QIZHONG-Q12,BJ-2023-HD-QIZHONG,12,选择题,0,,,,,,,,,,
BJ-2023-HD-QIZHONG-Q13,BJ-2023-HD-QIZHONG,13,选择题,0,,,,,,,,,,
BJ-2023-HD-QIZHONG-Q14,BJ-2023-HD-QIZHONG,14,选择题,1,,,,,,,S,,,
BJ-2023-HD-QIZHONG-Q15,BJ-2023-HD-QIZHONG,15,选择题,1,,,,,,,S,,,
BJ-2023-HD-QIZHONG-Q16,BJ-2023-HD-QIZHONG,16,非选择题,1,,,,,,,S,,,
BJ-2023-HD-QIZHONG-Q17,BJ-2023-HD-QIZHONG,17,非选择题,1,,,,,,,S,,,
BJ-2023-HD-QIZHONG-Q18,BJ-2023-HD-QIZHONG,18,非选择题,1,,,,,,,S[1/2],,,
BJ-2023-HD-QIZHONG-Q19,BJ-2023-HD-QIZHONG,19,非选择题,1,,,,,,,S,,,
BJ-2023-HD-QIZHONG-Q20,BJ-2023-HD-QIZHONG,20,非选择题,2,,,,,,,S,S,,
BJ-2023-HD-QIZHONG-Q21,BJ-2023-HD-QIZHONG,21,非选择题,2,,,,,,,S,S,,
BJ-2023-HD-QIZHONG-Q22,BJ-2023-HD-QIZHONG,22,非选择题,2,,,,,,,S,S,,
BJ-2023-HD-QIZHONG-Q23,BJ-2023-HD-QIZHONG,23,非选择题,1,,,,,,,S,,,
BJ-2024-DC-YIMO-Q1,BJ-2024-DC-YIMO,1,选择题,2,,S,S,,,,,,,
BJ-2024-DC-YIMO-Q3,BJ-2024-DC-YIMO,3,选择题,2,S,S,,,,,,,,
BJ-2024-DC-YIMO-Q4,BJ-2024-DC-YIMO,4,选择题,1,,,,,,,,S,,
BJ-2024-DC-YIMO-Q16,BJ-2024-DC-YIMO,16,非选择题,2,S,S,,,,,,,,
BJ-2024-DC-YIMO-Q17,BJ-2024-DC-YIMO,17,非选择题,2,,,,,,,S,S,,
BJ-2024-DC-YIMO-Q18,BJ-2024-DC-YIMO,18,非选择题,3,,,,,S[3],,S[1/3],S[2],,
BJ-2024-DC-YIMO-Q19,BJ-2024-DC-YIMO,19,非选择题,1,,,,S,,,,,,
BJ-2024-DC-YIMO-Q21,BJ-2024-DC-YIMO,21,非选择题,2,S,,,,,,S,,,
BJ-2024-DC-YIMO-Q2,BJ-2024-DC-YIMO,2,选择题,1,,S,,,,,,,,
BJ-2024-DC-YIMO-Q5,BJ-2024-DC-YIMO,5,选择题,1,,,,,,,,S,,
BJ-2024-DC-YIMO-Q6,BJ-2024-DC-YIMO,6,选择题,1,,,,,,S,,,,
BJ-2024-DC-YIMO-Q7,BJ-2024-DC-YIMO,7,选择题,1,,,,,,S,,,,
BJ-2024-DC-YIMO-Q8,BJ-2024-DC-YIMO,8,选择题,1,,,,,,S,,,,
BJ-2024-DC-YIMO-Q9,BJ-2024-DC-YIMO,9,选择题,1,,,,S,,,,,,
BJ-2024-DC-YIMO-Q10,BJ-2024-DC-YIMO,10,选择题,1,,,,S,,,,,,
BJ-2024-DC-YIMO-Q11,BJ-2024-DC-YIMO,11,选择题,2,,,,S,,,,S,,
BJ-2024-DC-YIMO-Q12,BJ-2024-DC-YIMO,12,选择题,1,,,,,,,S,,,
BJ-2024-DC-YIMO-Q13,BJ-2024-DC-YIMO,13,选择题,1,,,,,,,S,,,
BJ-2024-DC-YIMO-Q14,BJ-2024-DC-YIMO,14,选择题,1,,,S,,,,,,,
BJ-2024-DC-YIMO-Q15,BJ-2024-DC-YIMO,15,选择题,2,S,S,,,,,,,,
BJ-2024-DC-YIMO-Q20,BJ-2024-DC-YIMO,20,非选择题,2,,,S,,,,S,,,
BJ-2024-HD-YIMO-Q16,BJ-2024-HD-YIMO,16,非选择题,2,S,S,,,,,,,,
BJ-2024-HD-YIMO-Q18,BJ-2024-HD-YIMO,18,非选择题,3,,,S[1],,,S[2],S[1],,,
BJ-2024-HD-YIMO-Q20,BJ-2024-HD-YIMO,20,非选择题,0,,,,,,,,,,
BJ-2024-HD-YIMO-Q17,BJ-2024-HD-YIMO,17,非选择题,3,,,,,S[2],,S[1],S[3],,
BJ-2024-HD-YIMO-Q19,BJ-2024-HD-YIMO,19,非选择题,2,,,,S,,,S,,,
BJ-2024-HD-YIMO-Q1,BJ-2024-HD-YIMO,1,选择题,1,,S,,,,,,,,
BJ-2024-HD-YIMO-Q2,BJ-2024-HD-YIMO,2,选择题,1,S,,,,,,,,,
BJ-2024-HD-YIMO-Q3,BJ-2024-HD-YIMO,3,选择题,1,S,,,,,,,,,
BJ-2024-HD-YIMO-Q4,BJ-2024-HD-YIMO,4,选择题,1,,S,,,,,,,,
BJ-2024-HD-YIMO-Q5,BJ-2024-HD-YIMO,5,选择题,1,S,,,,,,,,,
BJ-2024-HD-YIMO-Q6,BJ-2024-HD-YIMO,6,选择题,1,,,,,,S,,,,
BJ-2024-HD-YIMO-Q7,BJ-2024-HD-YIMO,7,选择题,1,,,,,,S,,,,
BJ-2024-HD-YIMO-Q8,BJ-2024-HD-YIMO,8,选择题,1,,,,,,,,S,,
BJ-2024-HD-YIMO-Q9,BJ-2024-HD-YIMO,9,选择题,1,,,,,,,,S,,
BJ-2024-HD-YIMO-Q10,BJ-2024-HD-YIMO,10,选择题,1,,,,S,,,,,,
BJ-2024-HD-YIMO-Q11,BJ-2024-HD-YIMO,11,选择题,1,,,,S,,,,,,
BJ-2024-HD-YIMO-Q12,BJ-2024-HD-YIMO,12,选择题,1,,,,,,,S,,,
BJ-2024-HD-YIMO-Q13,BJ-2024-HD-YIMO,13,选择题,1,,,,,,,S,,,
BJ-2024-HD-YIMO-Q14,BJ-2024-HD-YIMO,14,选择题,1,,,S,,,,,,,
BJ-2024-HD-YIMO-Q15,BJ-2024-HD-YIMO,15,选择题,1,,,S,,,,,,,
BJ-2024-DC-ERMO-Q2,BJ-2024-DC-ERMO,2,选择题,1,,S,,,,,,,,
BJ-2024-DC-ERMO-Q3,BJ-2024-DC-ERMO,3,选择题,1,S,,,,,,,,,
BJ-2024-DC-ERMO-Q1,BJ-2024-DC-ERMO,1,选择题,1,,S,,,,,,,,
BJ-2024-DC-ERMO-Q16,BJ-2024-DC-ERMO,16,非选择题,2,S,S,,,,,,,,
