qid,exam,num,type,n_books,philosophy,culture,xuanbi1,xuanbi2,mind,reasoning,bixiu2,bixiu3,dup_of,dup_covered_by
BJ-2023-BJ-GAOKAO-Q11,BJ-2023-BJ-GAOKAO,11,选择题,2,,,,S,,,,S,,
BJ-2023-BJ-GAOKAO-Q12,BJ-2023-BJ-GAOKAO,12,选择题,1,,,,,,,S,,,
BJ-2023-BJ-GAOKAO-Q13,BJ-2023-BJ-GAOKAO,13,选择题,1,,,,,,,S,,,
BJ-2023-BJ-GAOKAO-Q14,BJ-2023-BJ-GAOKAO,14,选择题,1,,,S,,,,,,,
BJ-2023-BJ-GAOKAO-Q15,BJ-2023-BJ-GAOKAO,15,选择题,1,,,S,,,,,,,
BJ-2023-BJ-GAOKAO-Q16,BJ-2023-BJ-GAOKAO,16,非选择题,1,S,,,,,,,,,
BJ-2023-BJ-GAOKAO-Q17,BJ-2023-BJ-GAOKAO,17,非选择题,1,,,,S,,,,,,
BJ-2023-BJ-GAOKAO-Q18,BJ-2023-BJ-GAOKAO,18,非选择题,3,,,,S,,S[3],,S[1/2],,
BJ-2023-BJ-GAOKAO-Q19,BJ-2023-BJ-GAOKAO,19,非选择题,1,,,,,,,S[1/2],,,
BJ-2023-BJ-GAOKAO-Q20,BJ-2023-BJ-GAOKAO,20,非选择题,3,,S,,,,,S,S,,
BJ-2024-CY-ERMO-Q1,BJ-2024-CY-ERMO,1,选择题,2,S,,,,,,,S,,
BJ-2024-CY-ERMO-Q2,BJ-2024-CY-ERMO,2,选择题,2,S,,,,,,S,,,
BJ-2024-CY-ERMO-Q3,BJ-2024-CY-ERMO,3,选择题,1,,S,,,,,,,,
BJ-2024-CY-ERMO-Q4,BJ-2024-CY-ERMO,4,选择题,1,,S,,,,,,,,
BJ-2024-CY-ERMO-Q5,BJ-2024-CY-ERMO,5,选择题,1,,,,,,,S,,,
BJ-2024-CY-ERMO-Q6,BJ-2024-CY-ERMO,6,选择题,3,S,,,,,S,S,,,
BJ-2024-CY-ERMO-Q7,BJ-2024-CY-ERMO,7,选择题,1,,,,,,S,,,,
BJ-2024-CY-ERMO-Q8,BJ-2024-CY-ERMO,8,选择题,1,,,,,,,,S,,
BJ-2024-CY-ERMO-Q9,BJ-2024-CY-ERMO,9,选择题,1,,,,,,,,S,,
BJ-2024-CY-ERMO-Q10,BJ-2024-CY-ERMO,10,选择题,1,,,,,,,,S,,
BJ-2024-CY-ERMO-Q11,BJ-2024-CY-ERMO,11,选择题,1,,,,S,,,,,,
BJ-2024-CY-ERMO-Q12,BJ-2024-CY-ERMO,12,选择题,1,,,,S,,,,,,
BJ-2024-CY-ERMO-Q13,BJ-2024-CY-ERMO,13,选择题,1,,,S,,,,,,,
BJ-2024-CY-ERMO-Q14,BJ-2024-CY-ERMO,14,选择题,1,,,S,,,,,,,
BJ-2024-CY-ERMO-Q15,BJ-2024-CY-ERMO,15,选择题,2,,,S,,,,S,,,
BJ-2024-CY-ERMO-Q16,BJ-2024-CY-ERMO,16,非选择题,2,S[2],,,,,,S[1],,,
