file,size_mb,cwd,model_last,first_ts,last_ts,book_line,stage_guess,n_token_count_events,records_token_usage,tok_new,tok_cache_read,tok_out,tok_weighted,n_calls,tool_counts_json,exec_cat_json,render_n,check_n,user_text_sample,thread_source,parent,nickname,error
/Users/wanglifei/.codex/archived_sessions/rollout-2026-09-21T21-25-36-01a0c75c-b386-7842-9c77-6ef4e6c0daff.jsonl,0.2,/Users/wanglifei/Desktop/gpt6,gpt-5.6-luna,1790051140.592,1790052693.235,other,其他,5,6,23607,182784,2185,50625,6,"{""exec"": 6}","{""浏览"": 6}",0,0,,agent_created_thread,False,,
/Users/wanglifei/.codex/archived_sessions/rollout-2026-09-21T21-25-56-01a0c75d-00c1-7c31-be5f-519f97910504.jsonl,9.7,/Users/wanglifei/Documents/Codex/2026-09-21/bj-2025-hd-qizhong-raw-text,gpt-5.6-luna,1790051160.91,1790052651.469,other,其他,42,42,211085,4974720,35753,851569,42,"{""exec"": 36, ""wait"": 5}","{""浏览"": 10, ""提取转换"": 5, ""临时脚本"": 3, ""检查"": 1, ""PDF转图"": 1, ""图片裁剪"": 1, ""其他"": 1}",0,1,,agent_created_thread,False,,
/Users/wanglifei/.codex/archived_sessions/rollout-2026-09-21T21-25-59-01a0c75d-0bdf-7fe0-b48c-8e5e2e4928e7.jsonl,0.2,/Users/wanglifei/Desktop/gpt6,gpt-5.6-luna,1790051162.889,1790052692.801,other,其他,3,4,12592,123904,1799,32178,4,"{""exec"": 4}","{""浏览"": 3, ""其他"": 1}",0,0,,agent_created_thread,False,,
/Users/wanglifei/.codex/archived_sessions/rollout-2026-09-21T21-24-39-01a0c75b-d3a3-7991-b8d5-42e05cfc496d.jsonl,19.3,/Users/wanglifei/Documents/Codex/2026-09-21/group-2026-b-candidate,gpt-5.6-luna,1790051082.447,1790052692.771,other,其他,59,58,182528,5118848,16431,760137,58,"{""exec"": 50, ""wait"": 8}","{""浏览"": 16, ""提取转换"": 5, ""OCR"": 4, ""PDF转图"": 1, ""其他"": 1}",0,0,,agent_created_thread,False,,
/Users/wanglifei/.codex/archived_sessions/rollout-2026-09-21T21-24-39-01a0c75b-d51e-7dd2-800e-d9774eb5ce27.jsonl,0.2,/Users/wanglifei/Desktop/gpt6,gpt-5.6-luna,1790051083.08,1790052692.793,other,其他,5,6,14306,190976,1731,40328,6,"{""exec"": 6}","{""浏览"": 6}",0,0,,agent_created_thread,False,,
/Users/wanglifei/.codex/archived_sessions/rollout-2026-09-21T21-24-45-01a0c75b-ebd8-78e2-8ae9-2d2eac7aa7cd.jsonl,0.2,/Users/wanglifei/Desktop/gpt6,gpt-5.6-luna,1790051088.982,1790052692.786,other,其他,4,5,15248,162560,3444,45280,5,"{""exec"": 5}","{""浏览"": 5}",0,0,,agent_created_thread,False,,
/Users/wanglifei/.codex/archived_sessions/rollout-2026-09-21T21-24-52-01a0c75c-08f1-7c72-8f38-650437401ea6.jsonl,0.2,/Users/wanglifei/Desktop/gpt6,gpt-5.6-luna,1790051095.421,1790052692.789,other,其他,4,5,23924,148224,2332,48074,5,"{""exec"": 5}","{""浏览"": 5}",0,0,,agent_created_thread,False,,
/Users/wanglifei/.codex/archived_sessions/rollout-2026-09-21T21-26-18-01a0c75d-569c-7950-a5cf-6cb4f83904c3.jsonl,0.2,/Users/wanglifei/Desktop/gpt6,gpt-5.6-luna,1790051182.538,1790052692.766,other,其他,4,5,21487,150272,2345,45894,5,"{""exec"": 5}","{""浏览"": 4, ""其他"": 1}",0,0,,agent_created_thread,False,,
/Users/wanglifei/.codex/archived_sessions/rollout-2026-09-21T21-26-36-01a0c75d-9fbc-7332-9347-327ab8aae406.jsonl,0.2,/Users/wanglifei/Desktop/gpt6,gpt-5.6-luna,1790051202.746,1790052692.828,other,其他,3,4,13172,125952,2411,35411,4,"{""exec"": 4}","{""浏览"": 8}",0,0,,agent_created_thread,False,,
/Users/wanglifei/.codex/archived_sessions/rollout-2026-09-21T21-26-42-01a0c75d-b458-7a32-b26c-8cd3408863df.jsonl,0.2,/Users/wanglifei/Desktop/gpt6,gpt-5.6-luna,1790051206.46,1790052692.76,other,其他,2,3,11040,90368,1449,25873,3,"{""exec"": 3}","{""浏览"": 3}",0,0,,agent_created_thread,False,,
/Users/wanglifei/.codex/archived_sessions/rollout-2026-09-21T21-26-45-01a0c75d-c297-7ed2-acfa-3fc0bb6dc2fa.jsonl,0.2,/Users/wanglifei/Desktop/gpt6,gpt-5.6-luna,1790051210.635,1790052692.866,other,其他,2,3,19068,83200,1268,32460,3,"{""exec"": 3}","{""浏览"": 3}",0,0,,agent_created_thread,False,,
/Users/wanglifei/.codex/archived_sessions/rollout-2026-09-21T21-27-26-01a0c75e-6350-7d72-8572-6344a78746cd.jsonl,0.2,/Users/wanglifei/Desktop/gpt6,gpt-5.6-luna,1790051252.642,1790052692.761,other,其他,3,4,19458,116736,1544,37308,4,"{""exec"": 4}","{""浏览"": 3, ""其他"": 1}",0,0,,agent_created_thread,False,,
/Users/wanglifei/.codex/archived_sessions/rollout-2026-09-21T21-27-28-01a0c75e-6b1d-7202-8a93-d87836779ade.jsonl,0.2,/Users/wanglifei/Desktop/gpt6,gpt-5.6-luna,1790051254.771,1790052693.515,other,其他,4,4,14069,125952,2911,38308,4,"{""exec"": 4}","{""浏览"": 4}",0,0,,agent_created_thread,False,,
/Users/wanglifei/.codex/archived_sessions/rollout-2026-09-21T21-27-52-01a0c75e-c922-7be0-a703-fafd27dbe0af.jsonl,0.2,/Users/wanglifei/Desktop/gpt6,gpt-5.6-luna,1790051276.596,1790052692.835,other,其他,2,3,12191,91392,2427,31038,3,"{""exec"": 3}","{""浏览"": 8, ""其他"": 1}",0,0,,agent_created_thread,False,,
/Users/wanglifei/.codex/archived_sessions/rollout-2026-09-21T21-27-52-01a0c75e-c923-70a2-ae4d-d80bbca0cc85.jsonl,0.2,/Users/wanglifei/Desktop/gpt6,gpt-5.6-luna,1790051276.91,1790052692.781,other,其他,5,6,16716,196096,3306,49550,6,"{""exec"": 6}","{""浏览"": 14}",0,0,,agent_created_thread,False,,
/Users/wanglifei/.codex/archived_sessions/rollout-2026-09-21T21-26-58-01a0c75d-f3e1-7501-ba08-024734d7a202.jsonl,0.2,/Users/wanglifei/Desktop/gpt6,gpt-5.6-luna,1790051221.775,1790052692.784,other,其他,3,4,12494,122880,2020,32862,4,"{""exec"": 4}","{""浏览"": 3, ""其他"": 1}",0,0,,agent_created_thread,False,,
/Users/wanglifei/.codex/archived_sessions/rollout-2026-09-21T21-27-06-01a0c75e-1439-7391-8fd2-08c8768d1bdb.jsonl,0.2,/Users/wanglifei/Desktop/gpt6,gpt-5.6-luna,1790051230.474,1790052692.828,other,其他,3,4,21432,116736,1937,40854,4,"{""exec"": 4}","{""浏览"": 4}",0,0,,agent_created_thread,False,,
/Users/wanglifei/.codex/archived_sessions/rollout-2026-09-21T21-27-19-01a0c75e-44f9-7ce3-aca1-aaa588cc0885.jsonl,1.7,/Users/wanglifei/Desktop/gpt和claude共同的小窝,gpt-5.6-luna,1790051240.026,1790051959.493,other,其他,14,14,224114,1016320,4369,343222,14,"{""exec"": 14}","{""浏览"": 9, ""其他"": 3, ""检查"": 2}",0,2,,subagent,01a0c74f-70da-7f82-ac40-9d85b853fd34,Nietzsche the 3rd,
/Users/wanglifei/.codex/archived_sessions/rollout-2026-09-21T21-27-25-01a0c75e-5f65-7563-b3b2-0d44bad9fdb4.jsonl,0.1,/Users/wanglifei/Desktop/gpt6,gpt-5.6-luna,1790051251.431,1790051361.002,other,其他,1,1,15615,17152,505,19350,1,{},{},0,0,,agent_created_thread,False,,
/Users/wanglifei/.codex/archived_sessions/rollout-2026-09-21T21-28-18-01a0c75f-2e6c-77b1-9ab3-ade1aa414e41.jsonl,0.2,/Users/wanglifei/Desktop/gpt6,gpt-5.6-luna,1790051306.866,1790052692.811,other,其他,3,4,37883,97536,1449,53433,4,"{""exec"": 4}","{""浏览"": 4}",0,0,,agent_created_thread,False,,
/Users/wanglifei/.codex/archived_sessions/rollout-2026-09-21T21-28-28-01a0c75f-54ac-7752-b499-9f97ae0beffb.jsonl,9.7,/Users/wanglifei/Documents/Codex/2026-09-21/bj-2025-hd-qizhong-2,gpt-5.6-luna,1790051314.301,1790052688.883,other,其他,58,56,208445,6933632,23373,995300,56,"{""exec"": 53, ""wait"": 2}","{""浏览"": 29, ""其他"": 7, ""渲染"": 5, ""PDF转图"": 4, ""等待"": 2, ""检查"": 2}",5,2,,agent_created_thread,False,,
/Users/wanglifei/.codex/archived_sessions/rollout-2026-09-21T21-28-43-01a0c75f-8ed6-76f2-b38c-f068dc4a0610.jsonl,1.9,/Users/wanglifei/Desktop/gpt和claude共同的小窝,gpt-5.6-luna,1790051325.036,1790051973.265,other,其他,14,14,204917,1047040,4385,327161,14,"{""exec"": 13, ""wait"": 1}","{""浏览"": 10, ""检查"": 3}",0,3,,subagent,01a0c74f-70da-7f82-ac40-9d85b853fd34,Heisenberg the 3rd,
/Users/wanglifei/.codex/archived_sessions/rollout-2026-09-21T21-29-00-01a0c75f-d05b-7342-989e-9b2a9d860652.jsonl,0.2,/Users/wanglifei/Desktop/gpt6,gpt-5.6-luna,1790051346.987,1790052692.815,other,其他,4,5,14175,160512,2807,41454,5,"{""exec"": 5}","{""浏览"": 5}",0,0,,agent_created_thread,False,,
/Users/wanglifei/.codex/archived_sessions/rollout-2026-09-21T21-28-00-01a0c75e-e7d8-7b11-98d8-fde5ad916a72.jsonl,13.1,/Users/wanglifei/Documents/Codex/2026-09-21/bj-2025-hd-qizhong,gpt-5.6-luna,1790051284.934,1790052692.781,other,其他,23,24,129211,1871104,16622,382809,24,"{""exec"": 22, ""wait"": 2}","{""其他"": 6, ""浏览"": 5, ""文件操作"": 4, ""PDF转图"": 1, ""提取转换"": 1, ""检查"": 1}",0,1,,agent_created_thread,False,,
/Users/wanglifei/.codex/archived_sessions/rollout-2026-09-21T21-28-01-01a0c75e-eaf1-7212-b935-bfb9ba8284ec.jsonl,0.2,/Users/wanglifei/Desktop/gpt6,gpt-5.6-luna,1790051285.416,1790052692.805,other,其他,4,5,22794,151296,2471,47808,5,"{""exec"": 5}","{""浏览"": 5}",0,0,,agent_created_thread,False,,
/Users/wanglifei/.codex/archived_sessions/rollout-2026-09-21T21-28-04-01a0c75e-f62f-7b80-928b-fd4ddf254453.jsonl,1.2,/Users/wanglifei/Desktop/gpt和claude共同的小窝,gpt-5.6-luna,1790051286.243,1790051984.984,other,其他,16,16,138518,1102848,4936,268547,16,"{""exec"": 16}","{""浏览"": 8, ""检查"": 3, ""图片裁剪"": 2, ""PDF转图"": 2, ""等待"": 1}",0,3,,subagent,01a0c74f-70da-7f82-ac40-9d85b853fd34,Volta the 3rd,
/Users/wanglifei/.codex/archived_sessions/rollout-2026-09-21T21-28-18-01a0c75f-2e0c-75a2-ab58-fae46f778a5b.jsonl,0.2,/Users/wanglifei/Desktop/gpt6,gpt-5.6-luna,1790051306.869,1790052692.8,other,其他,3,4,34759,102400,1979,52915,4,"{""exec"": 4}","{""浏览"": 4}",0,0,,agent_created_thread,False,,
