qid,exam,num,type,category,dup_of,dup_covered_by,mention_in,md,bank_status
BJ-2023-DC-ERMO-Q19,BJ-2023-DC-ERMO,19,非选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-DC-ERMO-Q20,BJ-2023-DC-ERMO,20,非选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2025-DC-ERMO-Q1,BJ-2025-DC-ERMO,1,选择题,scattered_in_processed_exam,,,,True,已验收
BJ-2023-CY-ERMO-Q2,BJ-2023-CY-ERMO,2,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-CY-ERMO-Q3,BJ-2023-CY-ERMO,3,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-CY-ERMO-Q5,BJ-2023-CY-ERMO,5,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-CY-ERMO-Q6,BJ-2023-CY-ERMO,6,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-CY-ERMO-Q7,BJ-2023-CY-ERMO,7,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-CY-ERMO-Q8,BJ-2023-CY-ERMO,8,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-CY-ERMO-Q13,BJ-2023-CY-ERMO,13,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-CY-ERMO-Q14,BJ-2023-CY-ERMO,14,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-CY-ERMO-Q15,BJ-2023-CY-ERMO,15,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-CY-ERMO-Q16,BJ-2023-CY-ERMO,16,非选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-CY-ERMO-Q18,BJ-2023-CY-ERMO,18,非选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-CY-ERMO-Q19,BJ-2023-CY-ERMO,19,非选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-CY-ERMO-Q20,BJ-2023-CY-ERMO,20,非选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-CY-ERMO-Q21,BJ-2023-CY-ERMO,21,非选择题,exam_untouched_by_targets,,,,True,已验收
