unit_id,qid,exam_id_raw,exam_id_canonical,num,type,subq,grain,content_fingerprint,script_tier,归属_B1,归属_B2,归属_B3,归属_PH,归属_CU,归属_X1,归属_X2,归属_MI,归属_RE,admission,evidence,downgrade_notes,dup_of,dup_covered_by,conflict_script_out,rule_version,source,ruled
BJ-2023-FT-YIMO-Q15,BJ-2023-FT-YIMO-Q15,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,15,选择题,,整题,9d9eb44df8e30ea4,不明,MAYBE,MAYBE,MAYBE,OUT,MAYBE,IN,OUT,OUT,OUT,完整题-选择题照收,缺答案键,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2023-FT-YIMO-Q16,BJ-2023-FT-YIMO-Q16,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,16,主观题,,整题,708abae3cf381493,不明,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,不收-无E1,缺细则,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2023-FT-YIMO-Q17#1,BJ-2023-FT-YIMO-Q17,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,17,主观题,1,小问,72d92f824b739e83,不明,MAYBE,MAYBE,IN,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,不收-无E1,缺细则,B1:rubric_unreadable_not_OUT;X2:rubric_unreadable_not_OUT;MI:rubric_unreadable_not_OUT;RE:rubric_unreadable_not_OUT,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2023-FT-YIMO-Q17#2,BJ-2023-FT-YIMO-Q17,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,17,主观题,2,小问,72d92f824b739e83,不明,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,不收-无E1,缺细则,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2023-FT-YIMO-Q18,BJ-2023-FT-YIMO-Q18,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,18,主观题,,整题,752dcfd1196ee74b,不明,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,不收-无E1,缺细则,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2023-FT-YIMO-Q19,BJ-2023-FT-YIMO-Q19,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,19,主观题,,整题,6535831c1b76c102,倾向,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,IN,MAYBE,不收-无E1,缺细则,B1:rubric_unreadable_not_OUT;B3:rubric_unreadable_not_OUT;PH:rubric_unreadable_not_OUT;CU:rubric_unreadable_not_OUT;X1:rubric_unreadable_not_OUT;X2:rubric_unreadable_not_OUT;RE:rubric_unreadable_not_OUT,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2023-FT-YIMO-Q20,BJ-2023-FT-YIMO-Q20,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,20,主观题,,整题,59f9ee5d7a4d72ab,倾向,MAYBE,IN,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,不收-无E1,缺细则,B1:rubric_unreadable_not_OUT;PH:rubric_unreadable_not_OUT;CU:rubric_unreadable_not_OUT;X1:rubric_unreadable_not_OUT;X2:rubric_unreadable_not_OUT;MI:rubric_unreadable_not_OUT;RE:rubric_unreadable_not_OUT,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2023-FT-YIMO-Q21,BJ-2023-FT-YIMO-Q21,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,21,主观题,,整题,3afbc454a8b362ed,倾向,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,IN,MAYBE,MAYBE,MAYBE,不收-无E1,缺细则,B1:rubric_unreadable_not_OUT;B3:rubric_unreadable_not_OUT;PH:rubric_unreadable_not_OUT;CU:rubric_unreadable_not_OUT;X2:rubric_unreadable_not_OUT;MI:rubric_unreadable_not_OUT;RE:rubric_unreadable_not_OUT,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2023-FT-YIMO-Q22,BJ-2023-FT-YIMO-Q22,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,22,主观题,,整题,f38980f3416def90,不明,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,不收-无E1,缺细则,,BJ-2026-FT-YIMO-Q21,bixiu3;philosophy,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2024-CY-QIZHONG-Q1,BJ-2024-CY-QIZHONG-Q1,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,1,选择题,,整题,5b510526e4151a4b,倾向,MAYBE,MAYBE,MAYBE,COLLECTED,COLLECTED,OUT,OUT,OUT,OUT,完整题-选择题照收,E1,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
